city_key,geo_name,province,lon,lat,level,treat,post,treat_post,year,pm25,gdp,population,secondary_pct,tertiary_pct,fiscal_revenue,loan,wage,primary_teacher_per_10k,higher_teacher_per_10k,primary_student_per_10k,higher_student_per_10k,primary_school_count,higher_school_count,gdp_pc,ln_pm25,ln_gdp_pc,ln_fiscal,ln_pop,rel_year
七台河,七台河市,黑龙江,130.943937,45.881675,city,0,0,0,2010,39.20000076293945,305.2237,0.9286,66.17,26.48,23.3224,183.7069,28718.69,77.8591,1.9707,949.8169,19.2656,142.0,1.0,328.69233254361404,3.668676766259158,5.795122153789081,3.149414272138781,-0.07407720339631574,-4
万宁,万宁市,海南,110.324496,18.830445,city,0,0,0,2010,19.600000381469727,,,,,,,,,,,,,,,2.9755295856992126,,,,-4
三亚,三亚市,海南,109.421656,18.362263,city,0,0,0,2010,21.100000381469727,230.8509,0.5701,21.32,65.25,42.2231,241.6667,33446.73,108.0688,30.3631,1922.4697,641.4138,185.0,5.0,404.93053850201716,3.0492730585611545,6.003715542525477,3.742967464641798,-0.5619434949446008,-4
三明,三明市,福建,117.400007,26.298093,city,0,0,0,2010,35.400001525878906,975.102,2.7273,49.25,33.5,49.6415,404.6762,30603.08,94.2984,3.2523,1106.5889,63.4034,473.0,3.0,357.5338246617534,3.566711863243652,5.879229972096869,3.9048271774463434,1.003312108813785,-4
三门峡,三门峡市,河南,111.112608,34.36205,city,0,0,0,2010,49.70000076293945,874.4157,2.303,68.52,23.47,49.7358,392.8245,30456.45,90.3778,3.6995,1419.0187,66.4785,646.0,1.0,379.68549717759447,3.9060049484534773,5.939343271031848,3.9067249957268455,0.8342126208385481,-4
上海,上海市,上海,121.438737,31.072559,province,1,0,0,2010,54.900001525878906,17165.98,14.1232,42.05,57.28,2873.584,16249.29,71875.36,75.4673,27.7345,917.6391,365.1163,1521.0,66.0,1215.4455081001472,4.005513376309271,7.102865961899865,7.963315310163649,2.6478188352838314,-4
上饶,上饶市,江西,117.476403,28.772739,city,0,0,0,2010,49.29999923706055,901.0029,7.4033,50.96,32.18,72.5628,653.8072,23134.61,80.9963,1.4467,1570.786,27.5215,2654.0,3.0,121.70287574460038,3.897924065573199,4.8015826294973785,4.284452393816489,2.0019258467517282,-4
东方,东方市,海南,108.818801,18.996184,city,0,0,0,2010,25.600000381469727,,,,,,,,,,,,,,,3.242592366386678,,,,-4
东莞,东莞市,广东,113.879966,22.931879,city,1,0,0,2010,42.70000076293945,4246.4527,1.8177,50.89,48.72,277.8422,3386.8535,46579.51,210.7333,11.9602,4072.7293,210.6673,520.0,5.0,2336.1680695384275,3.754198938102013,7.756267288936397,5.6270533266307865,0.5975719656369161,-4
东营,东营市,山东,118.64357,37.639575,city,0,0,0,2010,68.30000305175781,2359.94,1.8487,72.55,23.74,104.8821,703.0568,41197.76,102.5802,15.9193,1380.4295,285.5845,265.0,5.0,1276.5402715421649,4.22390981125841,7.151908784591391,4.652836862138284,0.6144826893762628,-4
