rel_year,coef,se,ci_low,ci_high,p_value
-4,-0.011145236938698165,0.008801813464186356,-0.02839647432714315,0.006106000449746822,0.20542600544207568
-3,-0.0264958179641752,0.008618487053114602,-0.043387742189504565,-0.009603893738845834,0.0021099687665564267
-2,-0.035429715579916116,0.007045713735004981,-0.04923906074590506,-0.021620370413927167,4.942056630121064e-07
-1,0.0,0.0,0.0,0.0,
0,-0.012481110279421712,0.0074872958485088445,-0.02715594048409531,0.0021937199252518875,0.09552003253812383
1,-0.017756738687469714,0.011753378731856907,-0.0407929376985683,0.005279460323628877,0.130845180556237
2,-0.03506101037089734,0.009196201306248163,-0.053085233725723935,-0.017036787016070736,0.0001375383913505389
3,-0.011621416825187386,0.01320097077524877,-0.03749484410564077,0.014252010455266001,0.3786721050533064
4,-0.018681856552358045,0.014414829120654078,-0.04693440247213922,0.009570689367423123,0.19496979635120282
5,-0.01813933310065552,0.014289948430030367,-0.04614711736444973,0.00986845116313869,0.20430660458929473
