year,treat,mean_pm25,group
2010,0,49.15379624319549,对照组
2010,1,59.23968390812949,重点区域
2011,0,52.12541345401172,对照组
2011,1,62.358731345524866,重点区域
2012,0,50.394060241900654,对照组
2012,1,59.758731236533514,重点区域
2013,0,54.58877983974545,对照组
2013,1,67.93968327840169,重点区域
2014,0,51.57986890207423,对照组
2014,1,63.40317602006216,重点区域
2015,0,44.80561141212388,对照组
2015,1,53.396826274811275,重点区域
2016,0,42.12310300644475,对照组
2016,1,48.50000069633363,重点区域
2017,0,39.52937370401011,对照组
2017,1,47.54285806322854,重点区域
2018,0,35.757096331505096,对照组
2018,1,42.04127039228167,重点区域
2019,0,33.647195243205964,对照组
2019,1,39.33968326023647,重点区域
